Contract Length,Position,Age,Contract,Name,Cap %,Prev Year,GP,G,A,P,P/GP,Blocks/82,TOI/G,S%,Plus/Minus/82,Hits/82,G/82,A/82,P/82
2,C,23,725000,Harkins,0.009,2019-2020,33.97142857,2.342857143,5.857142857,8.2,0.24137931,28.27586207,10.61666667,0.069,-5.655172414,22.62068966,5.655172414,14.13793103,19.79310345
2,C,23,725000,Trenin,0.009,2019-2020,24.6,2.342857143,4.685714286,7.028571429,0.285714286,35.14285714,9.733333333,0.08,3.904761905,179.6190476,7.80952381,15.61904762,23.42857143
2,C,22,1487500,Eriksson Ek,0.018,2018-2019,58,7,7,14,0.24137931,33.93103448,13.5,0.0631,-9.896551724,165.4137931,9.896551724,9.896551724,19.79310345
2,C,22,1900000,Donato,0.023,2018-2019,56,10,15,25,0.446428571,30.75,13.7,0.0719,-21.96428571,35.14285714,14.64285714,21.96428571,36.60714286
2,C,22,700000,Gambrell,0.009,2018-2019,8,0,0,0,0,10.25,8.633333333,0,10.25,133.25,0,0,0
1,C,41,700000,Thorton,0.009,2019-2020,82,8.2,28.11428571,36.31428571,0.442857143,33.97142857,15.5,0.092,-22.25714286,23.42857143,8.2,28.11428571,36.31428571
1,C,37,1500000,Koivu,0.018,2019-2020,64.42857143,4.685714286,19.91428571,24.6,0.381818182,49.2,15.56666667,0.0541,2.981818182,37.27272727,5.963636364,25.34545455,31.30909091
1,C,36,750000,Thompson,0.009,2019-2020,82,4.685714286,12.88571429,17.57142857,0.214285714,58.57142857,12.78333333,0.06,-1.171428571,138.2285714,4.685714286,12.88571429,17.57142857
1,C,36,700000,Spezza,0.009,2019-2020,67.94285714,10.54285714,18.74285714,29.28571429,0.431034483,26.86206897,10.83333333,0.123,-4.24137931,18.37931034,12.72413793,22.62068966,35.34482759
1,C,34,940000,Boyle,0.012,2018-2019,26,5,0,5,0.192307692,53.61538462,13.43333333,0.1463,-3.153846154,151.3846154,15.76923077,0,15.76923077
1,C,33,700000,Haley,0.009,2019-2020,25.77142857,1.171428571,0,1.171428571,0.045454545,22.36363636,5.533333333,0.111,-26.09090909,134.1818182,3.727272727,0,3.727272727
1,C,31,1000000,Ennis,0.012,2019-2020,82,18.74285714,24.6,43.34285714,0.528571429,30.45714286,14.71666667,0.1006,-7.028571429,112.4571429,18.74285714,24.6,43.34285714
1,C,31,1200000,Brassard,0.015,2018-2019,70,14,9,23,0.328571429,17.57142857,15,0.1273,-22.25714286,119.4857143,16.4,10.54285714,26.94285714
1,C,31,850000,Gagner,0.01,2019-2020,49.2,7.028571429,8.2,15.22857143,0.30952381,19.52380952,13.35,0.0759,-19.52380952,42.95238095,11.71428571,13.66666667,25.38095238
1,C,29,1750000,Haula,0.021,2019-2020,56.22857143,14.05714286,14.05714286,28.11428571,0.5,25.625,15.83333333,0.1304,1.708333333,46.125,20.5,20.5,41
1,C,29,700000,Drew Shore,0.009,2016-2017,14,0,2,2,0.142857143,17.57142857,11.96666667,0,-17.57142857,128.8571429,0,11.71428571,11.71428571
1,C,28,3750000,Granlund,0.046,2019-2020,73.8,19.91428571,15.22857143,35.14285714,0.476190476,71.58730159,17.8,0.1308,-5.206349206,54.66666667,22.12698413,16.92063492,39.04761905
1,C,28,915000,Haas,0.011,2019-2020,67.94285714,5.857142857,5.857142857,11.71428571,0.172413793,39.5862069,9.7,0.093,-1.413793103,82,7.068965517,7.068965517,14.13793103
1,C,27,2250000,Janmark,0.028,2019-2020,72.62857143,7.028571429,17.57142857,24.6,0.338709677,48.93548387,14.61666667,0.0698,-6.612903226,29.09677419,7.935483871,19.83870968,27.77419355
1,C,26,1000000,Hinostroza,0.012,2019-2020,79.65714286,5.857142857,19.91428571,25.77142857,0.323529412,31.35294118,13.1,0.0379,1.205882353,61.5,6.029411765,20.5,26.52941176
1,C,26,700000,Simon,0.009,2019-2020,74.97142857,8.2,17.57142857,25.77142857,0.34375,25.625,14.4,0.0686,-11.53125,73.03125,8.96875,19.21875,28.1875
1,C,26,1050000,Gally,0.013,2019-2020,69.11428571,9.371428571,18.74285714,28.11428571,0.406779661,23.62711864,12.3,0.093,-6.949152542,72.27118644,11.11864407,22.23728814,33.3559322
1,C,26,2250000,Wennberg,0.028,2019-2020,66.77142857,5.857142857,19.91428571,25.77142857,0.385964912,44.59649123,16.68333333,0.0694,-7.192982456,30.21052632,7.192982456,24.45614035,31.64912281
1,C,26,700000,Jankowski,0.009,2019-2020,65.6,5.857142857,2.342857143,8.2,0.125,48.32142857,11.1,0.132,-17.57142857,20.5,7.321428571,2.928571429,10.25
1,C,26,700000,Toninato,0.009,2019-2020,53.88571429,4.685714286,8.2,12.88571429,0.239130435,49.91304348,11.15,0.105,7.130434783,101.6086957,7.130434783,12.47826087,19.60869565
1,C,26,700000,Caggiula,0.009,2019-2020,46.85714286,10.54285714,7.028571429,17.57142857,0.375,32.8,11.81666667,0.161,-6.15,166.05,18.45,12.3,30.75
1,C,26,750000,Shore,0.009,2017-2018,9,1,2,3,0.333333333,182.2222222,14.16666667,0.068,0,501.1111111,9.111111111,18.22222222,27.33333333
1,C,25,1200000,Grigorenko,0.015,2016-2017,75,10,13,23,0.306666667,28.42666667,13.26666667,0.118,-15.30666667,29.52,10.93333333,14.21333333,25.14666667
1,C,25,950000,Wallmark,0.012,2019-2020,70.28571429,12.88571429,14.05714286,26.94285714,0.383333333,35.53333333,12.78333333,0.1429,0,77.9,15.03333333,16.4,31.43333333
1,C,25,975000,Kahun,0.012,2019-2020,65.6,14.05714286,22.25714286,36.31428571,0.553571429,32.21428571,13.28333333,0.1379,11.71428571,7.321428571,17.57142857,27.82142857,45.39285714
1,C,25,750000,Hayden,0.009,2019-2020,50.37142857,3.514285714,1.171428571,4.685714286,0.093023256,51.48837209,9.716666667,0.077,-3.813953488,165.9069767,5.720930233,1.906976744,7.627906977
1,C,25,700000,Suomela,0.009,2019-2020,23.42857143,1.171428571,7.028571429,8.2,0.35,20.5,9.683333333,0.056,16.4,110.7,4.1,24.6,28.7
1,C,24,5200000,Reinhart,0.064,2019-2020,80.82857143,25.77142857,32.8,58.57142857,0.724637681,32.08695652,20.63333333,0.153,-11.88405797,42.7826087,26.14492754,33.27536232,59.42028986
1,C,24,950000,Gaudette,0.012,2019-2020,69.11428571,14.05714286,24.6,38.65714286,0.559322034,27.79661017,12.38333333,0.16,-9.728813559,40.30508475,16.6779661,29.18644068,45.86440678
1,C,24,874125,Stenlund,0.011,2019-2020,37.48571429,7.028571429,4.685714286,11.71428571,0.3125,56.375,13.98333333,0.105,5.125,48.6875,15.375,10.25,25.625
1,C,22,874125,Jost,0.011,2019-2020,78.48571429,9.371428571,17.57142857,26.94285714,0.343283582,22.02985075,12.76666667,0.0696,-13.46268657,70.98507463,9.791044776,18.35820896,28.14925373
1,C,22,874125,Patrick,0.011,2018-2019,72,13,18,31,0.430555556,29.61111111,15.08333333,0.113,-9.111111111,82,14.80555556,20.5,35.30555556
